timestamp,Variable1,Variable2,Variable3,target
,,,,
6/17/2017 12:26,US2,SSD,Commercial,15
,,,,
6/17/2017 12:26,US6,HDD,Commercial,27
,,,,
6/17/2017 12:26,US6,SSD,Commercial,1
,,,,
6/17/2017 12:26,US7,HDD,PCI,392
,,,,
6/17/2017 13:25,AP5,HDD,Commercial,269
,,,,
6/17/2017 13:25,EM3,HDD,Commercial,1284
,,,,
6/17/2017 13:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 13:25,SYD10,HDD,Commercial,1535
,,,,
6/17/2017 13:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 13:25,US2,HDD,Commercial,4824
,,,,
6/17/2017 13:25,US2,SSD,Commercial,2579
,,,,
6/17/2017 13:25,US2,SSD,Commercial,15
,,,,
6/17/2017 13:25,US6,HDD,Commercial,28
,,,,
6/17/2017 13:25,US6,SSD,Commercial,1
,,,,
6/17/2017 13:25,US7,HDD,PCI,391
,,,,
6/17/2017 14:25,AP5,HDD,Commercial,268
,,,,
6/17/2017 14:25,EM3,HDD,Commercial,1284
,,,,
6/17/2017 14:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 14:25,SYD10,HDD,Commercial,1537
,,,,
6/17/2017 14:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 14:25,US2,HDD,Commercial,4820
,,,,
6/17/2017 14:25,US2,SSD,Commercial,2579
,,,,
6/17/2017 14:25,US2,SSD,Commercial,15
,,,,
6/17/2017 14:25,US6,HDD,Commercial,29
,,,,
6/17/2017 14:25,US6,SSD,Commercial,0
,,,,
6/17/2017 14:25,US7,HDD,PCI,391
,,,,
6/17/2017 15:26,AP5,HDD,Commercial,268
,,,,
6/17/2017 15:26,EM3,HDD,Commercial,1282
,,,,
6/17/2017 15:26,EM3,SSD,Commercial,1728
,,,,
6/17/2017 15:26,SYD10,HDD,Commercial,1540
,,,,
6/17/2017 15:26,SYD10,SSD,Commercial,14
,,,,
6/17/2017 15:26,US2,HDD,Commercial,4822
,,,,
6/17/2017 15:26,US2,SSD,Commercial,2579
,,,,
6/17/2017 15:26,US2,SSD,Commercial,18
,,,,
6/17/2017 15:26,US6,HDD,Commercial,24
,,,,
6/17/2017 15:26,US6,SSD,Commercial,0
,,,,
6/17/2017 15:26,US7,HDD,PCI,391
,,,,
6/17/2017 16:25,AP5,HDD,Commercial,265
,,,,
6/17/2017 16:25,EM3,HDD,Commercial,1281
,,,,
6/17/2017 16:25,EM3,SSD,Commercial,1728
,,,,
6/17/2017 16:25,SYD10,HDD,Commercial,1541
,,,,
6/17/2017 16:25,SYD10,SSD,Commercial,14
,,,,
6/17/2017 16:25,US2,HDD,Commercial,4815
,,,,
6/17/2017 16:25,US2,SSD,Commercial,2580
,,,,
6/17/2017 16:25,US2,SSD,Commercial,15
,,,,
6/17/2017 16:25,US6,HDD,Commercial,24
,,,,
